"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528326","","","","0"
"2019-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527993","","","","0"
"2019-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527643","","","","0"
"2019-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528442","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528231","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527733","","","","0"
"2020-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","526884","","","","0"
"2020-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","526046","","","","0"
"2021-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","525895","","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","526195","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527056","","","","0"
"2019-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","153881","","","","0"
"2019-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","154409","","","","0"
"2019-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","155792","","","","0"
"2019-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","157025","","","","0"
"2020-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","157494","","","","0"
"2020-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","158401","","","","0"
"2020-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","159193","","","","0"
"2020-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","159179","","","","0"
"2021-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","159240","","","","0"
"2021-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","160334","","","","0"
"2021-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","162133","","","","0"
"2019-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","968724","","","","0"
"2019-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","970680","","","","0"
"2019-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","975799","","","","0"
"2019-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","982592","","","","0"
"2020-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","984130","","","","0"
"2020-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","986204","","","","0"
"2020-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","989168","","","","0"
"2020-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","989154","","","","0"
"2021-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","990025","","","","0"
"2021-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","993946","","","","0"
"2021-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","999908","","","","0"
"2019-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","773059","","","","0"
"2019-04","New Brunswick","2016A000213","Persons","249","units","0","v10","5","774277","","","","0"
"2019-07","New Brunswick","2016A000213","Persons","249","units","0","v10","5","777387","","","","0"
"2019-10","New Brunswick","2016A000213","Persons","249","units","0","v10","5","780907","","","","0"
"2020-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","781054","","","","0"
"2020-04","New Brunswick","2016A000213","Persons","249","units","0","v10","5","782512","","","","0"
"2020-07","New Brunswick","2016A000213","Persons","249","units","0","v10","5","783432","","","","0"
"2020-10","New Brunswick","2016A000213","Persons","249","units","0","v10","5","783814","","","","0"
"2021-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","784950","","","","0"
"2021-04","New Brunswick","2016A000213","Persons","249","units","0","v10","5","787002","","","","0"
"2021-07","New Brunswick","2016A000213","Persons","249","units","0","v10","5","790802","","","","0"
"2019-01","QC","2016A000224","Persons","249","units","0","v11","6","8430363","","","","0"
"2019-04","QC","2016A000224","Persons","249","units","0","v11","6","8447632","","","","0"
"2019-07","QC","2016A000224","Persons","249","units","0","v11","6","8483186","","","","0"
"2019-10","QC","2016A000224","Persons","249","units","0","v11","6","8521542","","","","0"
"2020-01","QC","2016A000224","Persons","249","units","0","v11","6","8537376","","","","0"
"2020-04","QC","2016A000224","Persons","249","units","0","v11","6","8550900","","","","0"
"2020-07","QC","2016A000224","Persons","249","units","0","v11","6","8551095","","","","0"
"2020-10","QC","2016A000224","Persons","249","units","0","v11","6","8551865","","","","0"
"2021-01","QC","2016A000224","Persons","249","units","0","v11","6","8550561","","","","0"
"2021-04","QC","2016A000224","Persons","249","units","0","v11","6","8556015","","","","0"
"2021-07","QC","2016A000224","Persons","249","units","0","v11","6","8572020","","","","0"
"2019-01","ON","2016A000235","Persons","249","units","0","v12","7","14449986","","","","0"
"2019-04","ON","2016A000235","Persons","249","units","0","v12","7","14493612","","","","0"
"2019-07","ON","2016A000235","Persons","249","units","0","v12","7","14573565","","","","0"
"2019-10","ON","2016A000235","Persons","249","units","0","v12","7","14666727","","","","0"
"2020-01","ON","2016A000235","Persons","249","units","0","v12","7","14718155","","","","0"
"2020-04","ON","2016A000235","Persons","249","units","0","v12","7","14752374","","","","0"
"2020-07","ON","2016A000235","Persons","249","units","0","v12","7","14761811","","","","0"
"2020-10","ON","2016A000235","Persons","249","units","0","v12","7","14757582","","","","0"
"2021-01","ON","2016A000235","Persons","249","units","0","v12","7","14772726","","","","0"
"2021-04","ON","2016A000235","Persons","249","units","0","v12","7","14808093","","","","0"
"2021-07","ON","2016A000235","Persons","249","units","0","v12","7","14842488","","","","0"
"2019-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","1361737","","","","0"
"2019-04","Manitoba","2016A000246","Persons","249","units","0","v13","8","1364666","","","","0"
"2019-07","Manitoba","2016A000246","Persons","249","units","0","v13","8","1370033","","","","0"
"2019-10","Manitoba","2016A000246","Persons","249","units","0","v13","8","1373884","","","","0"
"2020-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","1377283","","","","0"
"2020-04","Manitoba","2016A000246","Persons","249","units","0","v13","8","1379280","","","","0"
"2020-07","Manitoba","2016A000246","Persons","249","units","0","v13","8","1380132","","","","0"
"2020-10","Manitoba","2016A000246","Persons","249","units","0","v13","8","1381809","","","","0"
"2021-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","1383854","","","","0"
"2021-04","Manitoba","2016A000246","Persons","249","units","0","v13","8","1388611","","","","0"
"2021-07","Manitoba","2016A000246","Persons","249","units","0","v13","8","1391924","","","","0"
"2019-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1161529","","","","0"
"2019-04","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1161787","","","","0"
"2019-07","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1164223","","","","0"
"2019-10","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1167271","","","","0"
"2020-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1169426","","","","0"
"2020-04","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1169038","","","","0"
"2020-07","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1167386","","","","0"
"2020-10","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1165963","","","","0"
"2021-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1166348","","","","0"
"2021-04","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1167711","","","","0"
"2021-07","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1167711","","","","0"
"2019-01","Alberta","2016A000248","Persons","249","units","0","v15","10","4324254","","","","0"
"2019-04","Alberta","2016A000248","Persons","249","units","0","v15","10","4337569","","","","0"
"2019-07","Alberta","2016A000248","Persons","249","units","0","v15","10","4355377","","","","0"
"2019-10","Alberta","2016A000248","Persons","249","units","0","v15","10","4376860","","","","0"
"2020-01","Alberta","2016A000248","Persons","249","units","0","v15","10","4392958","","","","0"
"2020-04","Alberta","2016A000248","Persons","249","units","0","v15","10","4405455","","","","0"
"2020-07","Alberta","2016A000248","Persons","249","units","0","v15","10","4407495","","","","0"
"2020-10","Alberta","2016A000248","Persons","249","units","0","v15","10","4412013","","","","0"
"2021-01","Alberta","2016A000248","Persons","249","units","0","v15","10","4418338","","","","0"
"2021-04","Alberta","2016A000248","Persons","249","units","0","v15","10","4425617","","","","0"
"2021-07","Alberta","2016A000248","Persons","249","units","0","v15","10","4431531","","","","0"
"2019-01","BC","2016A000259","Persons","249","units","0","v3","11","5061132","","","","0"
"2019-04","BC","2016A000259","Persons","249","units","0","v3","11","5080515","","","","0"
"2019-07","BC","2016A000259","Persons","249","units","0","v3","11","5111022","","","","0"
"2019-10","BC","2016A000259","Persons","249","units","0","v3","11","5148047","","","","0"
"2020-01","BC","2016A000259","Persons","249","units","0","v3","11","5157053","","","","0"
"2020-04","BC","2016A000259","Persons","249","units","0","v3","11","5169535","","","","0"
"2020-07","BC","2016A000259","Persons","249","units","0","v3","11","5176101","","","","0"
"2020-10","BC","2016A000259","Persons","249","units","0","v3","11","5173896","","","","0"
"2021-01","BC","2016A000259","Persons","249","units","0","v3","11","5180015","","","","0"
"2021-04","BC","2016A000259","Persons","249","units","0","v3","11","5200393","","","","0"
"2021-07","BC","2016A000259","Persons","249","units","0","v3","11","5226665","","","","0"
"2019-01","Yukon","2016A000260","Persons","249","units","0","v4","12","40716","","","","0"
"2019-04","Yukon","2016A000260","Persons","249","units","0","v4","12","40779","","","","0"
"2019-07","Yukon","2016A000260","Persons","249","units","0","v4","12","41187","","","","0"
"2019-10","Yukon","2016A000260","Persons","249","units","0","v4","12","41460","","","","0"
"2020-01","Yukon","2016A000260","Persons","249","units","0","v4","12","41505","","","","0"
"2020-04","Yukon","2016A000260","Persons","249","units","0","v4","12","41807","","","","0"
"2020-07","Yukon","2016A000260","Persons","249","units","0","v4","12","41958","","","","0"
"2020-10","Yukon","2016A000260","Persons","249","units","0","v4","12","42109","","","","0"
"2021-01","Yukon","2016A000260","Persons","249","units","0","v4","12","42157","","","","0"
"2021-04","Yukon","2016A000260","Persons","249","units","0","v4","12","42443","","","","0"
"2021-07","Yukon","2016A000260","Persons","249","units","0","v4","12","42961","","","","0"
"2019-01","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44675","","","","0"
"2019-04","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44560","","","","0"
"2019-07","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44442","","","","0"
"2019-10","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44512","","","","0"
"2020-01","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44533","","","","0"
"2020-04","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44565","","","","0"
"2020-07","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44504","","","","0"
"2020-10","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44395","","","","0"
"2021-01","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44432","","","","0"
"2021-04","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44679","","","","0"
"2021-07","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44579","","","","0"
"2019-01","Nunavut","2016A000262","Persons","249","units","0","v7","15","38574","","","","0"
"2019-04","Nunavut","2016A000262","Persons","249","units","0","v7","15","38764","","","","0"
"2019-07","Nunavut","2016A000262","Persons","249","units","0","v7","15","38839","","","","0"
"2019-10","Nunavut","2016A000262","Persons","249","units","0","v7","15","38893","","","","0"
"2020-01","Nunavut","2016A000262","Persons","249","units","0","v7","15","39010","","","","0"
"2020-04","Nunavut","2016A000262","Persons","249","units","0","v7","15","39137","","","","0"
"2020-07","Nunavut","2016A000262","Persons","249","units","0","v7","15","39479","","","","0"
"2020-10","Nunavut","2016A000262","Persons","249","units","0","v7","15","39581","","","","0"
"2021-01","Nunavut","2016A000262","Persons","249","units","0","v7","15","39750","","","","0"
"2021-04","Nunavut","2016A000262","Persons","249","units","0","v7","15","39879","","","","0"
"2021-07","Nunavut","2016A000262","Persons","249","units","0","v7","15","40086","","","","0"


